mean,hdi_5.5%,hdi_94.5%,time
12.709,0.495,20.162,15.306122448979592
8.071,0.653,14.692,20.408163265306122
6.069,0.733,11.317,25.51020408163265
4.931,0.73,9.197,30.612244897959183
4.197,0.863,7.812,35.714285714285715
3.685,0.842,6.698,40.816326530612244
3.309,0.92,6.07,45.91836734693877
3.022,0.956,5.485,51.0204081632653
2.796,0.969,5.045,56.12244897959184
2.613,0.904,4.645,61.224489795918366
2.463,0.959,4.386,66.3265306122449
2.337,0.976,4.129,71.42857142857143
2.231,0.958,3.867,76.53061224489795
2.14,0.953,3.674,81.63265306122449
2.06,0.98,3.547,86.73469387755102
1.991,0.97,3.372,91.83673469387755
1.93,0.967,3.246,96.93877551020408
1.876,0.97,3.13,102.0408163265306
1.828,0.973,3.014,107.14285714285714
1.784,0.991,2.947,112.24489795918367
1.745,0.986,2.856,117.3469387755102
1.709,0.991,2.782,122.44897959183673
1.677,0.981,2.697,127.55102040816327
1.647,0.982,2.641,132.6530612244898
1.62,0.983,2.588,137.75510204081633
1.594,0.994,2.537,142.85714285714286
1.571,0.985,2.473,147.9591836734694
1.55,0.986,2.429,153.0612244897959
1.53,0.987,2.378,158.16326530612244
1.511,0.987,2.333,163.26530612244898
1.493,0.988,2.298,168.3673469387755
1.477,0.988,2.258,173.46938775510205
1.462,0.989,2.225,178.57142857142856
1.448,0.992,2.188,183.6734693877551
1.434,0.991,2.15,188.77551020408163
1.421,0.991,2.121,193.87755102040816
1.409,0.991,2.09,198.9795918367347
1.398,0.99,2.064,204.0816326530612
1.387,0.991,2.036,209.18367346938774
1.377,0.992,2.013,214.28571428571428
1.367,0.991,1.993,219.3877551020408
1.358,0.992,1.969,224.48979591836735
1.349,0.992,1.95,229.59183673469389
1.341,0.994,1.932,234.6938775510204
1.333,0.992,1.909,239.79591836734693
1.325,0.992,1.889,244.89795918367346
1.318,0.992,1.869,250.0
