mean,hdi_5.5%,hdi_94.5%,time

0.002,0.0,0.004,5.1020408163265305
0.002,0.0,0.005,10.204081632653061
0.003,0.0,0.006,15.306122448979592
0.003,0.0,0.006,20.408163265306122
0.003,0.0,0.007,25.51020408163265
0.004,0.0,0.007,30.612244897959183
0.004,0.001,0.007,35.714285714285715
0.004,0.001,0.007,40.816326530612244
0.004,0.001,0.007,45.91836734693877
0.004,0.001,0.006,51.0204081632653
0.004,0.001,0.006,56.12244897959184
0.004,0.001,0.006,61.224489795918366
0.004,0.001,0.006,66.3265306122449
0.004,0.001,0.006,71.42857142857143
0.004,0.001,0.006,76.53061224489795
0.004,0.001,0.006,81.63265306122449
0.004,0.001,0.006,86.73469387755102
0.003,0.001,0.005,91.83673469387755
0.003,0.001,0.005,96.93877551020408
0.003,0.001,0.005,102.0408163265306
0.003,0.001,0.005,107.14285714285714
0.003,0.001,0.005,112.24489795918367
0.003,0.001,0.005,117.3469387755102
0.003,0.001,0.005,122.44897959183673
0.003,0.001,0.005,127.55102040816327
0.003,0.001,0.005,132.6530612244898
0.003,0.001,0.004,137.75510204081633
0.003,0.001,0.004,142.85714285714286
0.003,0.001,0.004,147.9591836734694
0.003,0.001,0.004,153.0612244897959
0.003,0.001,0.004,158.16326530612244
0.003,0.001,0.004,163.26530612244898
0.003,0.001,0.004,168.3673469387755
0.003,0.001,0.004,173.46938775510205
0.003,0.001,0.004,178.57142857142856
0.002,0.001,0.004,183.6734693877551
0.002,0.001,0.004,188.77551020408163
0.002,0.001,0.004,193.87755102040816
0.002,0.001,0.004,198.9795918367347
0.002,0.001,0.003,204.0816326530612
0.002,0.001,0.003,209.18367346938774
0.002,0.001,0.003,214.28571428571428
0.002,0.001,0.003,219.3877551020408
0.002,0.001,0.003,224.48979591836735
0.002,0.001,0.003,229.59183673469389
0.002,0.001,0.003,234.6938775510204
0.002,0.001,0.003,239.79591836734693
0.002,0.001,0.003,244.89795918367346
0.002,0.001,0.003,250.0
